E_LPN_8	scBS_2C_6_1	scBS_2C_6_2	scBS_4C_7_1	scBS_4C_7_2	scBS_4C_7_3	scBS_4C_7_4	scBS_8C_9_1	scBS_8C_9_2	scBS_8C_9_3	scBS_8C_9_4	scBS_8C_9_5	scBS_8C_9_6	scBS_8C_9_7	scBS_8C_9_8
REM1	0.108	0.2	0.12	0.006	0.02	0.017	0.074	0.144	0.185	0.0	0.114	0.266	0.22	0.263	0.141
REM2	0.031	0.5	0.121	0.016	0.0	0.0	0.0	0.029	0.011	0.049	0.107	0.02	0.056	0.053	0.071
SYNGR2	0.145	0.0	0.12	0.016	0.017	0.0	0.056	0.093	0.0	0.161	0.142	0.075	0.313	0.111	0.33
C16orf13	0.061	0.0	0.057	0.046	0.0	0.0	0.0	0.044	0.0	0.074	0.154	0.005	0.04	0.04	0.033
RPEL1	0.25	NA	NA	NA	0.0	1.0	0.0	NA	1.0	0.1	0.0	0.0	0.5	0.5	0.75
ASS1	0.382	0.216	0.233	0.021	0.058	0.023	0.093	0.393	0.158	0.223	0.152	0.39	0.125	0.085	0.127
SPX	0.017	0.036	0.01	0.0	0.0	0.0	0.031	0.0	0.077	0.0	0.0	0.02	0.0	0.0	0.0
ZNF879	0.39	0.135	0.154	0.017	0.146	0.073	0.321	0.232	0.304	0.328	0.737	0.206	0.29	0.574	0.417
ZNF878	0.152	0.111	0.061	0.152	0.035	0.016	0.138	0.03	0.141	0.129	0.1	0.341	0.323	0.191	0.152
SPR	0.298	0.053	0.101	0.086	0.076	0.073	0.052	0.134	0.108	0.123	0.0	0.0	0.172	0.127	0.246
SPN	0.063	0.0	0.133	0.059	0.057	0.0	0.0	0.035	0.02	0.08	0.135	0.142	0.116	0.105	0.092
RBMY1A3P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SP8	0.007	0.029	0.019	0.006	0.015	0.018	0.012	0.008	0.007	0.057	0.06	0.021	0.014	0.006	0.0
SP9	0.008	0.0	0.003	0.0	0.0	0.02	0.007	0.005	0.01	0.012	0.035	0.009	0.01	0.012	0.011
SP1	0.779	0.59	0.643	0.333	0.465	0.233	0.377	0.574	0.552	0.614	0.724	0.654	0.667	0.782	0.642
SP2	0.611	0.689	0.424	0.349	0.259	0.181	0.307	0.399	0.311	0.426	0.454	0.47	0.622	0.414	0.492
SP3	0.328	0.327	0.313	0.173	0.17	0.145	0.113	0.223	0.223	0.286	0.528	0.276	0.197	0.218	0.321
SP4	0.677	0.413	0.641	0.478	0.483	0.474	0.598	0.86	0.771	0.832	0.906	0.645	0.941	0.65	0.739
SP5	0.005	0.019	0.014	0.01	0.022	0.0	0.0	0.0	0.024	0.017	0.0	0.002	0.0	0.009	0.0
SP6	0.008	0.054	0.033	0.013	0.02	0.005	0.003	0.022	0.0	0.031	0.012	0.018	0.017	0.011	0.019
SP7	0.154	0.26	0.112	0.015	0.088	0.0	0.133	0.046	0.01	0.189	0.273	0.052	0.063	0.195	0.16
GOLIM4	0.474	0.521	0.435	0.362	0.265	0.186	0.252	0.368	0.662	0.633	0.75	0.513	0.38	0.483	0.668
DLGAP1-AS1	0.071	NA	0.4	0.079	0.0	0.0	0.25	0.0	0.031	0.286	1.0	0.0	0.015	0.0	0.0
KLLN	0.0	0.041	0.0	0.004	0.125	0.0	0.0	0.006	0.028	0.056	0.0	0.017	0.044	0.009	0.02
OVCH2	0.786	0.75	0.72	0.173	0.571	0.353	0.5	0.467	1.0	0.667	0.917	0.5	0.938	0.824	0.636
OVCH1	0.669	0.667	0.705	0.188	0.5	0.806	0.395	0.654	0.511	0.774	0.935	0.732	0.707	0.692	0.826
SPPL2A	0.671	0.5	0.524	0.362	0.382	0.354	0.17	0.645	0.449	0.526	0.653	0.511	0.688	0.645	0.586
SPPL2C	0.352	0.273	0.224	0.112	0.0	0.188	0.156	0.049	0.057	0.0	0.2	0.016	0.328	0.107	0.0
SPPL2B	0.608	0.528	0.453	0.358	0.434	0.424	0.275	0.375	0.428	0.506	0.525	0.607	0.587	0.441	0.533
UGCG	0.496	0.603	0.378	0.247	0.281	0.245	0.373	0.422	0.431	0.342	0.377	0.437	0.398	0.339	0.693
ATP2A1	0.43	0.273	0.297	0.259	0.439	0.386	0.19	0.611	0.399	0.503	0.618	0.387	0.457	0.652	0.52
ATP2A2	0.587	0.429	0.444	0.232	0.342	0.268	0.375	0.447	0.539	0.481	0.574	0.541	0.675	0.6	0.566
ATP2A3	0.095	0.181	0.192	0.062	0.018	0.057	0.023	0.108	0.256	0.127	0.274	0.05	0.039	0.041	0.126
ZNF664-FAM101A	0.313	0.18	0.28	0.161	0.168	0.118	0.107	0.206	0.168	0.336	0.52	0.206	0.292	0.397	0.363
GAP43	0.464	0.489	0.477	0.224	0.233	0.174	0.22	0.389	0.346	0.229	0.29	0.331	0.352	0.162	0.272
FBXL13	0.824	0.772	0.697	0.445	0.511	0.483	0.448	0.554	0.592	0.699	0.762	0.699	0.623	0.764	0.871
FBXL12	0.385	0.632	0.324	0.319	0.13	0.18	0.129	0.405	0.385	0.478	0.252	0.524	0.408	0.384	0.178
FBXL15	0.023	0.0	0.0	0.0	0.01	0.009	0.009	0.015	0.0	0.023	0.008	0.008	0.007	0.008	0.003
FBXL14	0.138	0.171	0.127	0.031	0.087	0.044	0.039	0.046	0.024	0.214	0.32	0.141	0.128	0.249	0.094
FBXL17	0.468	0.482	0.433	0.088	0.408	0.21	0.306	0.493	0.559	0.659	0.751	0.625	0.513	0.615	0.595
FBXL16	0.053	0.194	0.106	0.031	0.027	0.023	0.007	0.021	0.105	0.032	0.066	0.069	0.108	0.148	0.117
FAM169A	0.672	0.294	0.435	0.171	0.198	0.206	0.332	0.449	0.5	0.577	0.55	0.537	0.406	0.461	0.571
FBXL18	0.623	0.397	0.402	0.268	0.263	0.158	0.127	0.29	0.323	0.372	0.37	0.373	0.345	0.428	0.532
FAM169B	0.73	0.52	0.566	0.521	0.56	0.344	0.605	0.441	0.522	0.635	0.768	0.473	0.699	0.533	0.629
LOC102467216	0.349	0.182	0.472	0.379	0.467	0.094	0.408	0.308	0.347	0.455	0.649	0.5	0.529	0.603	0.657
SDK1	0.754	0.606	0.642	0.44	0.428	0.305	0.315	0.588	0.637	0.69	0.77	0.581	0.676	0.771	0.868
SDK2	0.615	0.421	0.436	0.14	0.122	0.157	0.083	0.289	0.328	0.588	0.735	0.429	0.743	0.405	0.579
KANSL1-AS1	0.095	0.0	0.0	0.014	0.0	0.015	0.0	0.022	0.049	0.07	0.222	0.057	0.038	0.0	0.036
GRP	0.031	0.0	0.0	0.028	0.0	0.0	0.033	0.103	0.029	0.065	0.025	0.103	0.029	0.015	0.118
LOC100287098	0.639	0.641	0.337	0.196	0.229	0.197	0.359	0.176	0.274	0.408	0.487	0.444	0.432	0.682	0.375
THSD4	0.649	0.571	0.537	0.391	0.375	0.236	0.304	0.586	0.531	0.658	0.748	0.497	0.674	0.585	0.65
ZNF407	0.776	0.731	0.732	0.411	0.352	0.51	0.491	0.586	0.756	0.836	0.894	0.721	0.918	0.795	0.894
IQCF5-AS1	0.0	0.143	0.2	0.0	0.0	0.042	0.059	0.792	0.375	0.333	0.286	0.292	0.0	0.0	0.125
THSD1	0.099	0.158	0.192	0.106	0.167	0.01	0.103	0.204	0.183	0.232	0.281	0.098	0.212	0.21	0.245
HMGB3P1	0.0	0.0	NA	0.0	0.2	NA	0.0	0.0	0.0	0.1	0.5	0.0	0.0	0.0	0.5
GRN	0.288	0.289	0.238	0.081	0.079	0.143	0.026	0.086	0.065	0.184	0.287	0.188	0.35	0.177	0.22
KCND3-IT1	0.333	0.0	0.0	0.0	0.0	0.0	0.091	0.0	0.412	0.063	0.0	NA	0.091	0.0	0.0
LOC286359	0.1	0.2	0.111	0.083	0.0	0.262	0.0	0.394	0.273	0.172	0.107	0.281	0.2	0.056	0.048
FAM134C	0.583	0.841	0.462	0.367	0.24	0.293	0.286	0.334	0.467	0.537	0.717	0.457	0.654	0.492	0.479
FAM134B	0.685	0.355	0.556	0.289	0.343	0.289	0.393	0.526	0.426	0.599	0.811	0.674	0.771	0.559	0.639
FAM134A	0.323	0.16	0.387	0.175	0.145	0.143	0.094	0.25	0.308	0.182	0.015	0.469	0.09	0.216	0.269
AFTPH	0.423	0.43	0.295	0.264	0.273	0.272	0.102	0.286	0.356	0.33	0.096	0.554	0.444	0.333	0.405
RNF114	0.485	0.417	0.362	0.348	0.185	0.285	0.224	0.323	0.363	0.5	0.306	0.296	0.306	0.399	0.316
RNF112	0.06	0.417	0.073	0.019	0.0	0.103	0.0	0.089	0.25	0.056	0.106	0.0	0.021	0.024	0.317
MIR3620	0.5	NA	NA	0.0	NA	0.0	0.0	1.0	0.0	NA	NA	NA	0.0	0.0	0.0
MIR3621	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.0	NA	0.0
AIMP1	0.525	0.692	0.44	0.363	0.375	0.312	0.344	0.697	0.204	0.461	0.312	0.443	0.316	0.34	0.239
HMMR-AS1	0.667	0.857	0.722	0.0	0.0	0.0	0.75	0.406	0.0	0.923	0.667	0.833	0.536	1.0	1.0
PIPOX	0.061	0.327	0.145	0.038	0.0	0.073	0.043	0.06	0.375	0.071	0.19	0.0	0.013	0.038	0.413
LINC01216	1.0	1.0	0.625	0.5	0.071	0.583	0.071	0.857	0.857	1.0	NA	0.75	1.0	0.8	0.9
LINC01215	0.333	0.333	0.208	0.4	0.167	0.182	0.118	0.5	0.44	0.417	0.667	0.238	0.421	0.174	0.667
ATP1A4	0.096	0.392	0.114	0.045	0.065	0.032	0.32	0.256	0.371	0.209	0.275	0.153	0.275	0.101	0.022
LINC01213	0.0	0.667	0.0	0.0	0.0	0.0	0.0	0.0	0.222	0.0	NA	NA	0.0	0.333	NA
ATP1A2	0.037	0.106	0.179	0.024	0.111	0.03	0.035	0.159	0.26	0.262	0.22	0.224	0.091	0.057	0.072
ATP1A1	0.496	0.357	0.111	0.213	0.156	0.21	0.216	0.267	0.774	0.229	0.558	0.364	0.31	0.514	0.23
LINC01210	0.0	0.0	NA	0.12	NA	0.0	0.0	0.0	0.222	0.0	NA	NA	0.091	0.4	0.167
LOC100507351	0.314	0.277	0.329	0.211	0.017	0.199	0.113	0.154	0.234	0.281	0.345	0.209	0.417	0.362	0.688
SPHK1	0.099	0.071	0.068	0.019	0.009	0.012	0.032	0.127	0.006	0.069	0.24	0.0	0.151	0.063	0.03
DCTN1-AS1	0.093	0.0	0.192	0.049	0.032	0.031	0.054	0.014	0.038	0.014	0.0	0.111	0.066	0.053	0.029
BEGAIN	0.1	0.056	0.087	0.009	0.003	0.061	0.029	0.016	0.01	0.05	0.217	0.021	0.11	0.065	0.105
MIR4535	NA	NA	0.5	NA	NA	NA	0.0	0.0	NA	0.0	NA	NA	NA	0.0	NA
TP53TG5	0.5	1.0	0.156	0.408	0.542	0.348	0.278	0.346	0.333	0.0	0.077	0.333	0.618	0.759	0.196
MIR4533	NA	NA	NA	NA	NA	NA	NA	NA	1.0	1.0	NA	NA	NA	NA	NA
TP53TG3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFT80	0.701	0.729	0.722	0.422	0.335	0.374	0.41	0.703	0.692	0.764	0.849	0.568	0.809	0.735	0.832
TP53TG1	0.552	0.208	0.383	0.406	0.6	0.25	0.071	0.6	0.19	0.714	0.818	0.233	0.389	0.267	0.444
NPY6R	0.833	0.4	1.0	0.111	0.333	0.333	0.577	0.833	0.692	0.921	1.0	0.789	0.8	0.833	0.955
XPA	0.151	0.077	0.188	0.056	0.049	0.164	0.064	0.309	0.278	0.303	0.313	0.125	0.604	0.227	0.26
KISS1R	0.017	0.007	0.006	0.008	0.003	0.0	0.006	0.007	0.024	0.009	0.006	0.011	0.002	0.002	0.007
ATG4C	0.78	0.736	0.488	0.442	0.174	0.31	0.47	0.72	0.611	0.766	0.681	0.725	0.708	0.673	0.561
ATG4B	0.577	0.393	0.492	0.294	0.286	0.345	0.256	0.648	0.455	0.445	0.216	0.63	0.246	0.494	0.331
ATG4A	0.631	0.733	0.552	0.391	0.337	0.561	0.419	0.675	0.937	0.941	0.826	0.678	0.557	0.605	0.797
ATG4D	0.305	0.345	0.361	0.14	0.089	0.176	0.048	0.174	0.248	0.207	0.174	0.42	0.435	0.242	0.195
EGFR-AS1	0.129	0.0	0.102	0.125	0.0	0.133	0.0	0.219	0.065	0.065	0.151	0.065	0.22	0.273	0.389
GPT2	0.592	0.519	0.47	0.313	0.313	0.352	0.295	0.326	0.298	0.565	0.674	0.202	0.378	0.476	0.726
MIR4500HG	0.357	0.75	0.616	0.274	0.294	0.128	0.202	0.644	0.5	0.504	0.522	0.543	0.483	0.45	0.521
NAALAD2	0.405	0.6	0.47	0.17	0.16	0.21	0.109	0.209	0.735	0.396	0.358	0.422	0.286	0.263	0.281
HMG20A	0.759	0.842	0.712	0.506	0.641	0.551	0.362	0.67	0.733	0.766	0.932	0.765	0.824	0.656	0.81
HMG20B	0.064	0.057	0.03	0.032	0.024	0.016	0.003	0.009	0.014	0.013	0.177	0.007	0.008	0.017	0.026
ZFP82	0.536	0.346	0.425	0.287	0.194	0.338	0.231	0.477	0.569	0.486	0.59	0.613	0.441	0.417	0.773
NRXN3	0.762	0.664	0.694	0.314	0.351	0.421	0.471	0.666	0.723	0.757	0.809	0.727	0.756	0.672	0.802
NRXN2	0.402	0.287	0.205	0.141	0.1	0.116	0.075	0.193	0.184	0.229	0.25	0.268	0.216	0.306	0.244
NRXN1	0.391	0.349	0.377	0.325	0.168	0.242	0.224	0.405	0.475	0.591	0.619	0.543	0.473	0.448	0.521
STAC3	0.107	0.183	0.162	0.015	0.069	0.0	0.029	0.037	0.011	0.12	0.303	0.055	0.064	0.036	0.091
DPYSL4	0.368	0.421	0.498	0.206	0.18	0.136	0.144	0.555	0.551	0.433	0.575	0.557	0.444	0.512	0.678
DPYSL5	0.643	0.335	0.425	0.34	0.218	0.212	0.273	0.393	0.392	0.385	0.284	0.554	0.552	0.353	0.535
DPYSL2	0.396	0.257	0.311	0.16	0.233	0.216	0.237	0.246	0.373	0.382	0.438	0.269	0.272	0.454	0.499
DPYSL3	0.212	0.186	0.216	0.014	0.123	0.042	0.124	0.447	0.097	0.121	0.283	0.175	0.18	0.326	0.243
OR4D9	0.25	0.0	0.0	0.05	NA	0.0	NA	NA	0.0	0.778	0.0	0.333	1.0	0.4	0.5
LOC100505658	0.0	NA	0.5	0.0	0.667	0.2	0.583	0.364	0.0	0.536	0.25	0.714	0.5	0.227	0.0
TMC4	0.298	0.089	0.131	0.212	0.2	0.195	0.343	0.171	0.127	0.205	0.247	0.19	0.126	0.101	0.269
NOP9	0.259	0.667	0.451	0.293	0.148	0.222	0.228	0.136	0.152	0.181	0.727	0.322	0.486	0.358	0.3
TMC6	0.079	0.087	0.077	0.069	0.008	0.08	0.028	0.113	0.097	0.184	0.283	0.069	0.285	0.173	0.282
TMC7	0.093	0.26	0.234	0.132	0.115	0.043	0.024	0.337	0.251	0.273	0.342	0.272	0.277	0.428	0.318
APIP	0.302	0.75	0.194	0.262	0.107	0.391	0.284	0.216	0.432	0.433	0.095	0.317	0.386	0.492	0.414
TMC1	0.684	0.524	0.593	0.388	0.309	0.462	0.287	0.593	0.51	0.627	0.73	0.553	0.749	0.623	0.655
TMC2	0.337	0.36	0.443	0.301	0.176	0.202	0.177	0.248	0.411	0.524	0.59	0.325	0.408	0.523	0.393
TMC3	0.625	0.625	0.645	0.477	0.451	0.215	0.293	0.535	0.496	0.517	0.755	0.42	0.69	0.578	0.462
PPP6R1	0.575	0.503	0.262	0.213	0.149	0.224	0.246	0.5	0.371	0.409	0.36	0.563	0.574	0.374	0.279
TMC8	0.034	0.13	0.077	0.059	0.007	0.065	0.013	0.033	0.02	0.035	0.122	0.006	0.128	0.056	0.22
MLF1	0.542	0.63	0.296	0.169	0.409	0.35	0.44	0.448	0.333	0.788	0.919	0.519	0.178	0.313	0.654
RSPH9	0.622	0.17	0.331	0.306	0.278	0.317	0.142	0.69	0.306	0.262	0.375	0.42	0.374	0.431	0.274
FANCF	0.031	0.0	0.034	0.0	0.06	0.0	0.0	0.017	0.067	0.015	0.0	0.0	0.0	0.0	0.016
RSPH3	0.614	0.372	0.422	0.204	0.183	0.196	0.241	0.407	0.727	0.833	0.489	0.73	0.206	0.317	0.301
RSPH1	0.552	0.579	0.545	0.385	0.225	0.287	0.109	0.451	0.624	0.283	0.198	0.378	0.345	0.409	0.41
LOC646719	0.0	0.0	0.122	0.017	0.0	0.0	0.0	0.152	0.0	0.0	0.0	0.0	0.016	0.085	0.014
LARP4B	0.719	0.646	0.517	0.354	0.255	0.355	0.311	0.741	0.747	0.614	0.544	0.648	0.611	0.662	0.536
ASGR1	0.054	0.353	0.036	0.029	0.148	0.008	0.036	0.016	0.032	0.147	0.157	0.003	0.08	0.021	0.09
ASGR2	0.201	0.049	0.077	0.04	0.114	0.048	0.02	0.149	0.189	0.164	0.418	0.106	0.025	0.09	0.23
API5	0.664	0.313	0.237	0.129	0.133	0.22	0.208	0.235	0.653	0.674	0.488	0.314	0.189	0.351	0.706
UBE2NL	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	1.0	NA	0.0	NA	0.333	0.0
ECRP	0.0	NA	1.0	NA	NA	0.0	NA	NA	0.571	0.0	0.0	0.5	0.273	0.0	0.0
HLA-DPA1	0.077	0.038	0.063	0.0	0.0	0.125	0.154	0.029	0.037	0.088	0.1	0.257	0.13	0.117	0.17
KIAA1191	0.313	0.482	0.16	0.037	0.293	0.213	0.391	0.29	0.138	0.261	0.219	0.305	0.5	0.378	0.161
ALOX12P2	0.596	0.667	0.417	0.434	0.471	0.353	0.418	0.562	0.54	0.596	0.592	0.5	0.686	0.597	0.588
ADARB2-AS1	0.11	0.272	0.341	0.211	0.121	0.261	0.19	0.333	0.282	0.31	0.273	0.497	0.242	0.216	0.32
CT55	0.157	0.462	0.083	0.041	0.167	0.038	0.194	0.205	0.36	0.182	0.0	0.059	0.276	0.2	0.265
ENTPD3-AS1	0.571	0.264	0.631	0.311	0.373	0.343	0.122	0.73	0.484	0.635	0.781	0.551	0.605	0.609	0.804
C19orf26	0.208	0.115	0.175	0.019	0.052	0.025	0.036	0.13	0.073	0.098	0.092	0.148	0.194	0.04	0.168
C19orf24	0.161	0.109	0.043	0.046	0.146	0.0	0.102	0.286	0.157	0.143	0.084	0.128	0.239	0.073	0.111
C19orf25	0.291	0.265	0.203	0.08	0.164	0.094	0.086	0.177	0.107	0.12	0.063	0.333	0.259	0.092	0.153
ITGB1BP1	0.284	0.115	0.33	0.271	0.031	0.161	0.141	0.106	0.227	0.25	0.593	0.221	0.405	0.255	0.336
ITGB1BP2	0.5	0.75	0.5	0.536	0.667	0.0	0.2	0.714	0.722	0.625	0.8	0.615	0.714	0.222	0.867
LOC100506675	0.5	0.0	0.143	0.0	NA	NA	0.2	0.5	NA	0.75	0.0	0.667	0.6	0.5	0.0
LOC100506674	0.621	0.75	0.704	0.618	0.512	0.414	0.21	0.913	0.567	0.676	0.772	0.817	0.457	0.756	0.679
SLC35C2	0.558	0.304	0.381	0.22	0.307	0.165	0.283	0.658	0.643	0.336	0.292	0.632	0.456	0.696	0.496
LOC100506679	0.692	0.286	0.575	0.356	0.418	0.446	0.297	0.376	0.33	0.601	0.25	0.535	0.432	0.725	0.339
ZAP70	0.144	0.169	0.156	0.057	0.1	0.149	0.081	0.495	0.273	0.267	0.23	0.321	0.348	0.444	0.624
SYNDIG1	0.141	0.173	0.211	0.211	0.136	0.039	0.088	0.176	0.182	0.278	0.25	0.295	0.368	0.327	0.175
HNRNPA0	0.017	0.4	0.028	0.0	0.02	0.0	0.005	0.0	0.0	0.012	0.0	0.007	0.022	0.0	0.009
RAC2	0.738	0.514	0.443	0.17	0.14	0.14	0.276	0.438	0.329	0.397	0.244	0.473	0.489	0.671	0.635
RAC3	0.054	0.33	0.122	0.051	0.0	0.0	0.017	0.045	0.031	0.093	0.098	0.319	0.086	0.073	0.094
RAC1	0.441	0.245	0.343	0.24	0.254	0.281	0.184	0.214	0.244	0.317	0.372	0.258	0.283	0.454	0.519
VCL	0.667	0.657	0.526	0.481	0.389	0.469	0.293	0.55	0.708	0.607	0.586	0.717	0.402	0.479	0.532
CPLX2	0.424	0.409	0.38	0.019	0.276	0.301	0.277	0.32	0.367	0.589	0.654	0.355	0.347	0.49	0.44
CPLX3	0.102	0.0	0.184	0.157	0.0	0.0	0.0	0.019	0.036	0.078	0.412	0.014	0.104	0.046	0.086
CPLX1	0.195	0.205	0.259	0.157	0.13	0.127	0.07	0.104	0.073	0.114	0.15	0.078	0.279	0.154	0.369
CPLX4	0.2	0.286	0.121	0.07	0.053	0.414	0.24	0.256	0.393	0.283	0.564	0.296	0.369	0.375	0.79
VCX	0.262	NA	0.227	0.121	0.0	0.0	0.333	0.652	0.333	0.667	0.25	0.536	0.3	0.706	0.238
VCY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBX4	0.566	0.178	0.212	0.169	0.112	0.244	0.209	0.27	0.416	0.424	0.383	0.578	0.541	0.329	0.328
PBX2	0.313	0.045	0.109	0.207	0.0	0.15	0.182	0.09	0.148	0.075	0.043	0.194	0.022	0.023	0.0
PBX3	0.621	0.344	0.408	0.325	0.5	0.292	0.406	0.548	0.394	0.399	0.52	0.491	0.475	0.4	0.423
PBX1	0.442	0.447	0.426	0.259	0.364	0.197	0.384	0.674	0.747	0.597	0.569	0.5	0.484	0.54	0.45
AIRE	0.069	0.267	0.09	0.008	0.042	0.021	0.041	0.103	0.2	0.295	0.087	0.115	0.019	0.01	0.032
AIRN	0.871	1.0	0.571	0.282	0.409	0.547	0.0	0.447	0.286	0.22	0.667	0.395	0.491	0.54	0.448
PRAMEF4	0.065	0.4	0.071	0.04	0.118	0.0	0.176	0.107	0.579	0.413	0.269	0.15	0.091	0.043	0.059
PRAMEF5	0.0	NA	0.333	0.0	0.0	NA	0.0	0.5	0.333	0.0	0.0	0.143	0.5	NA	0.0
PRAMEF6	0.0	NA	0.333	0.0	0.0	0.0	0.0	0.111	0.333	0.0	0.0	0.1	0.0	0.0	0.0
PRAMEF7	0.071	0.222	0.0	0.0	0.0	0.0	NA	0.091	0.107	0.167	0.1	0.167	0.0	0.167	0.071
FAM71F1	0.216	0.219	0.123	0.057	0.0	0.149	0.254	0.145	0.074	0.179	0.441	0.16	0.188	0.404	0.25
PRAMEF1	0.625	0.0	0.3	0.158	0.0	0.083	0.143	0.188	0.333	0.125	0.167	0.25	0.5	0.133	0.0
PRAMEF2	0.095	0.25	0.286	0.0	0.0	0.0	0.135	0.682	0.111	0.545	0.636	0.768	0.705	0.0	0.618
LOC101927870	0.567	0.567	0.632	0.19	0.148	0.375	0.293	0.517	0.495	0.664	0.653	0.632	0.566	0.587	0.424
PRAMEF8	0.071	0.222	0.0	0.0	0.0	0.0	NA	0.091	0.107	0.167	0.1	0.167	0.0	0.167	0.071
PRAMEF9	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	0.0	0.0	NA	0.0	0.0	0.0
CLEC14A	0.012	0.0	0.0	0.018	0.0	0.0	0.006	0.011	0.0	0.0	0.027	0.0	0.005	0.01	0.004
UXT	0.135	0.0	0.116	0.076	0.078	0.194	0.043	0.184	0.17	0.06	0.158	0.152	0.193	0.15	0.407
RNU6-28P	0.627	0.479	0.522	0.351	0.3	0.271	0.231	0.601	0.549	0.614	0.685	0.519	0.64	0.588	0.667
CLCN3	0.779	0.772	0.723	0.575	0.347	0.454	0.281	0.646	0.719	0.803	0.794	0.721	0.576	0.611	0.917
CLCN2	0.517	0.49	0.357	0.315	0.092	0.094	0.142	0.595	0.484	0.51	0.677	0.451	0.452	0.398	0.357
CLCN1	0.127	0.167	0.233	0.002	0.0	0.068	0.11	0.081	0.065	0.152	0.285	0.124	0.168	0.256	0.312
CLCN7	0.631	0.659	0.409	0.379	0.319	0.36	0.256	0.599	0.565	0.655	0.706	0.647	0.678	0.708	0.485
CLCN6	0.8	0.467	0.552	0.325	0.457	0.326	0.448	0.586	0.736	0.646	0.503	0.594	0.593	0.394	0.588
CLCN5	0.7	0.664	0.616	0.479	0.572	0.38	0.362	0.724	0.842	0.878	0.816	0.728	0.532	0.658	0.729
CLCN4	0.636	0.408	0.563	0.201	0.232	0.14	0.138	0.423	0.489	0.492	0.726	0.369	0.419	0.409	0.723
KIR3DS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAJA2	0.073	0.143	0.344	0.205	0.056	0.12	0.087	0.219	0.192	0.272	0.392	0.149	0.25	0.16	0.147
DNAJA3	0.73	0.367	0.588	0.342	0.433	0.324	0.242	0.557	0.634	0.543	0.565	0.565	0.54	0.691	0.471
DNAJA1	0.368	0.375	0.25	0.183	0.171	0.212	0.078	0.243	0.372	0.258	0.613	0.192	0.29	0.239	0.353
DNAJA4	0.354	0.968	0.317	0.216	0.09	0.061	0.045	0.304	0.199	0.326	0.345	0.298	0.423	0.414	0.233
GALR3	0.003	0.011	0.028	0.004	0.007	0.005	0.017	0.003	0.0	0.011	0.021	0.007	0.007	0.013	0.0
GALR2	0.01	0.006	0.008	0.0	0.004	0.007	0.003	0.0	0.0	0.004	0.026	0.008	0.014	0.008	0.018
MAGEL2	0.026	0.082	0.031	0.025	0.0	0.024	0.0	0.028	0.0	0.247	0.488	0.019	0.009	0.044	0.007
UTRN	0.378	0.457	0.425	0.176	0.204	0.312	0.281	0.589	0.6	0.608	0.567	0.587	0.521	0.561	0.557
MRPL24	0.306	0.348	0.611	0.069	0.0	0.0	0.25	0.488	0.444	0.563	0.5	0.759	0.641	0.396	0.477
MRPL27	0.282	0.0	0.107	0.269	0.083	0.212	0.211	0.389	0.231	0.471	1.0	0.407	0.269	0.385	0.194
MRPL21	0.488	0.607	0.419	0.557	0.193	0.327	0.198	0.411	0.432	0.703	0.673	0.495	0.378	0.74	0.675
MRPL20	0.04	0.0	0.093	0.038	0.051	0.115	0.022	0.246	0.085	0.164	0.248	0.07	0.252	0.136	0.075
MRPL23	0.373	0.429	0.191	0.192	0.1	0.275	0.049	0.319	0.273	0.366	0.877	0.259	0.494	0.491	0.41
MRPL22	0.625	0.864	0.543	0.115	0.333	0.676	0.228	0.841	0.514	0.551	0.464	0.61	0.659	0.36	0.93
MRPL28	0.356	0.071	0.169	0.104	0.019	0.048	0.0	0.168	0.058	0.3	0.513	0.3	0.296	0.343	0.341
NPTX2	0.291	0.114	0.261	0.075	0.029	0.08	0.066	0.35	0.503	0.205	0.289	0.213	0.274	0.31	0.511
NPTX1	0.124	0.254	0.198	0.062	0.006	0.038	0.0	0.03	0.0	0.059	0.084	0.012	0.167	0.052	0.179
CHD1L	0.528	0.093	0.295	0.248	0.258	0.038	0.411	0.457	0.373	0.447	0.461	0.551	0.356	0.394	0.619
LOC100131655	0.277	0.261	0.184	0.09	0.147	0.138	0.212	0.369	0.43	0.302	0.582	0.292	0.219	0.287	0.488
RNF130	0.68	0.47	0.532	0.06	0.266	0.367	0.449	0.558	0.67	0.669	0.699	0.52	0.64	0.666	0.637
RAPH1	0.688	0.368	0.635	0.374	0.342	0.244	0.308	0.536	0.6	0.484	0.607	0.603	0.531	0.536	0.553
RNF133	NA	NA	NA	0.0	NA	NA	NA	NA	NA	1.0	0.6	1.0	NA	0.0	NA
RNF135	0.531	0.264	0.379	0.223	0.246	0.116	0.41	0.332	0.422	0.421	0.383	0.238	0.315	0.374	0.25
RNF138	0.494	0.243	0.373	0.178	0.04	0.241	0.293	0.225	0.453	0.507	0.395	0.353	0.373	0.421	0.477
